,[] -  / Time ,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20
2,ORAL APREPITANT (J8501) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ORAL APREPITANT (J8501) - Dose USD ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00 ,,,,,,,,,,,,,,,,$0.00 ,,,,,,,,
4,ORAL DEXAMETHASONE (J8540) - Dose Units ,"3,402","3,508","4,459","4,313","4,311","3,480","2,017","2,874","3,085","3,389","4,696","4,339","2,941","3,033","4,088","2,664","3,151","1,622","1,068","1,952","1,701","2,863","4,829","3,985","4,274","2,930","3,246","2,375","2,465","2,124","1,860","2,400","3,232","7,153","12,934","7,456","9,172","7,087","6,255","4,314","4,354","2,664","2,494","2,771","4,540","9,158","8,301","7,087","7,113","5,820","4,367","4,354","3,364","3,470","2,388","1,662","5,488","6,111","7,087","9,053","4,684","7,153","6,321","3,998","4,394","2,704","1,913","2,889","6,123","6,269","8,274","9,793","4,592","6,941","6,903","5,266","5,251","4,446","2,256","3,259","6,070","8,724","11,853","9,436","8,473","8,777","8,473","4,552","7,139","2,718","2,335","3,298","5,186","7,298","11,653","8,974","9,343","8,644","3,906"
5,ORAL DEXAMETHASONE (J8540) - Dose USD ,"$55,996.92 ","$58,601.14 ","$79,325.61 ","$76,501.84 ","$71,465.60 ","$57,287.76 ","$33,885.60 ","$49,639.73 ","$53,648.15 ","$60,010.72 ","$88,857.71 ","$84,371.86 ","$56,915.70 ","$60,735.83 ","$81,539.25 ","$52,340.94 ","$61,551.63 ","$32,075.05 ","$21,229.17 ","$38,544.19 ","$33,058.94 ","$55,334.63 ","$93,856.44 ","$75,854.48 ","$81,676.14 ","$54,996.10 ","$58,736.37 ","$42,269.06 ","$42,545.90 ","$34,976.97 ","$31,010.85 ","$36,686.40 ","$50,298.00 ","$114,433.69 ","$209,336.79 ","$121,029.52 ","$140,735.17 ","$119,734.87 ","$106,194.26 ","$71,709.47 ","$72,633.43 ","$44,602.02 ","$44,298.43 ","$49,400.00 ","$76,691.95 ","$157,224.54 ","$146,263.62 ","$144,344.47 ","$169,659.28 ","$142,720.95 ","$118,705.98 ","$121,633.34 ","$98,573.61 ","$100,126.85 ","$62,632.46 ","$40,814.57 ","$128,935.07 ","$142,890.46 ","$162,611.22 ","$203,819.24 ","$99,488.16 ","$151,679.37 ","$135,193.55 ","$83,808.08 ","$96,975.58 ","$72,256.29 ","$60,732.97 ","$92,881.35 ","$196,095.20 ","$193,853.15 ","$249,936.86 ","$256,752.87 ","$85,491.56 ","$132,104.58 ","$132,151.03 ","$104,464.28 ","$106,805.34 ","$91,667.63 ","$46,749.96 ","$66,659.59 ","$118,334.65 ","$168,242.34 ","$224,377.29 ","$178,623.48 ","$160,669.26 ","$170,295.74 ","$161,969.87 ","$83,062.62 ","$133,542.13 ","$51,173.15 ","$54,177.84 ","$86,209.72 ","$148,047.34 ","$211,039.92 ","$330,805.36 ","$251,743.14 ","$232,565.96 ","$193,668.82 ","$80,203.07 "
6,ORAL PRESCRIP DRUG NON CHEMO (J8499) - Dose Units ,"3,652","3,903","4,312","3,416","3,758","6,741","8,261","12,549","13,223","17,025","24,889","18,833","17,221","14,926","21,065","13,566","14,991","11,984","11,958","14,584","11,825","11,298","19,494","19,733","34,634","21,593","27,864","142,742","131,523","116,765","112,330","169,037","126,031","74,301","45,763","38,279","14,914","12,063","13,845","12,551","14,808","11,153","11,376","8,724","7,390","13,304","6,374","9,727","12,432","11,152","14,677","20,471","13,198","8,988","18,280","9,529","14,782","16,973","9,766","8,578","10,215","19,085","12,037","9,516","10,874","14,769","8,050","9,015","11,773","9,978","6,295","8,697","7,272","10,717","39,505","57,457","51,017","16,327","5,423","6,203","6,137","7,061","7,839","6,348","5,398","6,044","6,004","5,094","8,790","14,334","6,282","4,129","2,981","6,031","5,372","3,760","6,321","5,225","2,559"
7,ORAL PRESCRIP DRUG NON CHEMO (J8499) - Dose USD ,"$209,688.71 ","$769,515.48 ","$729,797.38 ","$623,240.66 ","$775,754.55 ","$1,652,151.69 ","$2,114,588.82 ","$2,926,602.49 ","$2,859,804.33 ","$3,259,776.75 ","$3,829,421.54 ","$1,719,217.49 ","$949,393.73 ","$717,604.77 ","$1,036,145.22 ","$665,178.96 ","$764,241.18 ","$617,176.00 ","$679,304.09 ","$819,474.96 ","$665,717.94 ","$636,953.00 ","$1,021,641.55 ","$998,095.14 ","$1,507,410.22 ","$742,043.45 ","$910,874.16 ","$4,429,284.26 ","$3,983,568.62 ","$3,976,432.08 ","$4,451,918.73 ","$7,668,532.54 ","$6,004,116.84 ","$3,557,086.07 ","$2,432,303.45 ","$2,117,689.98 ","$769,174.64 ","$565,664.23 ","$639,085.20 ","$603,295.19 ","$712,620.19 ","$519,897.10 ","$627,795.94 ","$503,004.03 ","$428,028.80 ","$771,179.66 ","$360,736.53 ","$498,849.20 ","$527,042.21 ","$432,307.28 ","$479,240.74 ","$559,390.55 ","$285,967.67 ","$160,772.85 ","$247,803.68 ","$94,670.62 ","$177,827.46 ","$224,001.17 ","$134,160.43 ","$130,968.90 ","$175,493.70 ","$525,505.48 ","$401,433.95 ","$357,040.32 ","$481,799.76 ","$806,032.94 ","$556,717.88 ","$622,305.45 ","$912,619.41 ","$919,397.87 ","$606,759.31 ","$856,376.20 ","$639,027.00 ","$963,511.89 ","$3,862,719.89 ","$6,900,872.99 ","$7,655,483.48 ","$2,733,303.07 ","$924,594.39 ","$1,048,641.96 ","$1,022,792.42 ","$1,136,821.00 ","$1,643,885.33 ","$1,750,238.82 ","$1,490,630.71 ","$1,831,180.90 ","$1,981,920.40 ","$1,893,439.80 ","$3,261,177.90 ","$4,437,663.06 ","$1,513,396.62 ","$859,525.67 ","$473,628.73 ","$651,348.00 ","$348,503.13 ","$87,363.60 ","$70,921.62 ","$56,299.38 ","$26,639.19 "
8,ORAL PRESCRIPTION DRUG CHEMO (J8999) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ORAL PRESCRIPTION DRUG CHEMO (J8999) - Dose USD ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
10,ORBACTIV (686A) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,125,93,129,130,147,159,208,146,257,311,298,412,346,379,514,503,561,664,520,474,746,620,745,645,699,811,789,767,"1,009",832,807,"1,043",880,768,"1,037",888,870,"1,052",855,864,"1,115",892,882,"1,166",894,"1,102",823,870,"1,094",890,869,878,"1,170",941,"1,137",911,882,"1,057",857,"1,009","1,293",986,"1,252","1,080",698
11,ORBACTIV (686A) - Dose USD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$130,500.00 ","$362,500.00 ","$269,700.00 ","$374,100.00 ","$377,000.00 ","$426,300.00 ","$461,100.00 ","$603,200.00 ","$423,400.00 ","$745,300.00 ","$901,900.00 ","$864,200.00 ","$1,194,800.00 ","$1,003,400.00 ","$1,099,100.00 ","$1,490,600.00 ","$1,458,700.00 ","$1,626,900.00 ","$1,925,600.00 ","$1,508,000.00 ","$1,374,600.00 ","$2,163,400.00 ","$1,798,000.00 ","$2,160,500.00 ","$1,870,500.00 ","$2,027,100.00 ","$2,351,900.00 ","$2,288,100.00 ","$2,224,300.00 ","$2,926,100.00 ","$2,412,800.00 ","$2,340,300.00 ","$3,024,700.00 ","$2,552,000.00 ","$2,227,200.00 ","$3,007,300.00 ","$2,575,200.00 ","$2,523,000.00 ","$3,050,800.00 ","$2,479,500.00 ","$2,505,600.00 ","$3,233,500.00 ","$2,586,800.00 ","$2,557,800.00 ","$3,381,400.00 ","$2,592,600.00 ","$3,195,800.00 ","$2,386,700.00 ","$2,523,000.00 ","$3,172,600.00 ","$2,581,000.00 ","$2,520,100.00 ","$2,546,200.00 ","$3,393,000.00 ","$2,728,900.00 ","$3,297,300.00 ","$2,641,900.00 ","$2,557,800.00 ","$3,065,300.00 ","$2,485,300.00 ","$2,926,100.00 ","$3,749,700.00 ","$2,859,400.00 ","$3,630,800.00 ","$3,132,000.00 ","$2,024,200.00 "
12,ORENITRAM (J3285O) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,51,78,155,145,201,162,159,211,196,224,213,349,394,466,366,307,413,334,341,414,339,361,477,427,446,558,460,546,446,482,618,503,490,637,499,508,664,611,544,635,559,547,730,585,565,725,578,603,779,581,753,611,587,733,573,575,567,706,573,725,590,572,704,583,584,743,610,789,637,432
13,ORENITRAM (J3285O) - Dose USD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$967,500.00 ","$1,096,500.00 ","$1,677,000.00 ","$3,332,500.00 ","$3,117,500.00 ","$4,321,500.00 ","$3,483,000.00 ","$3,418,500.00 ","$4,536,500.00 ","$4,214,000.00 ","$4,816,000.00 ","$4,579,500.00 ","$7,503,500.00 ","$8,471,000.00 ","$10,019,000.00 ","$7,869,000.00 ","$6,600,500.00 ","$8,879,500.00 ","$7,181,000.00 ","$7,331,500.00 ","$8,901,000.00 ","$7,288,500.00 ","$7,761,500.00 ","$10,255,500.00 ","$9,180,500.00 ","$9,589,000.00 ","$11,997,000.00 ","$9,890,000.00 ","$11,739,000.00 ","$9,589,000.00 ","$10,363,000.00 ","$13,287,000.00 ","$10,814,500.00 ","$10,535,000.00 ","$13,695,500.00 ","$10,728,500.00 ","$10,922,000.00 ","$14,276,000.00 ","$13,136,500.00 ","$11,696,000.00 ","$13,652,500.00 ","$12,018,500.00 ","$11,760,500.00 ","$15,695,000.00 ","$12,577,500.00 ","$12,147,500.00 ","$15,587,500.00 ","$12,427,000.00 ","$12,964,500.00 ","$16,748,500.00 ","$12,491,500.00 ","$16,189,500.00 ","$13,136,500.00 ","$12,620,500.00 ","$15,759,500.00 ","$12,319,500.00 ","$12,362,500.00 ","$12,190,500.00 ","$15,179,000.00 ","$12,319,500.00 ","$15,587,500.00 ","$12,685,000.00 ","$12,298,000.00 ","$15,136,000.00 ","$12,534,500.00 ","$12,556,000.00 ","$15,974,500.00 ","$13,115,000.00 ","$16,963,500.00 ","$13,695,500.00 ","$9,288,000.00 "
14,ORPHENADRINE INJECTION (J2360) - Dose Units ,"3,799","2,888","3,905","3,905","2,784","3,665","2,796","3,758","2,504","2,954","3,309","2,863","2,202","2,598","3,823","3,310","3,652","2,877","2,757","3,073","2,507","5,397","5,041","4,024","3,629","3,286","3,523","3,470","4,393","3,629","2,849","3,364","3,403","3,469","5,172","2,771","4,487","3,959","5,187","3,536","5,701","3,590","4,196","5,054","4,328","4,552","3,933","3,272","3,734","3,549","6,018","6,611","3,959","4,209","4,737","3,918","5,634","4,077","3,259","3,628","2,295","2,678","3,378","2,704","2,705","3,259","1,966","2,704","3,746","2,626","2,427","3,311","1,951","2,071","3,311","3,364","3,603","3,140","3,391","3,219","3,695","3,087","4,263","2,296","2,375","1,767","2,071","1,874","2,757","1,067","2,164","2,822","2,559","2,123","2,507","1,502","2,480","2,125",869
15,ORPHENADRINE INJECTION (J2360) - Dose USD ,"$153,755.03 ","$128,595.42 ","$173,452.29 ","$179,903.35 ","$128,641.68 ","$174,791.18 ","$131,565.78 ","$172,462.14 ","$111,609.54 ","$126,859.53 ","$141,989.19 ","$119,673.40 ","$94,723.65 ","$110,915.12 ","$164,014.35 ","$140,435.03 ","$149,967.19 ","$116,230.80 ","$102,932.60 ","$112,650.03 ","$91,586.98 ","$579,786.22 ","$1,680,407.27 ","$1,808,596.86 ","$1,802,074.30 ","$1,677,297.63 ","$1,799,900.70 ","$1,634,422.05 ","$1,117,948.21 ","$628,760.54 ","$348,945.52 ","$339,730.36 ","$348,092.87 ","$352,207.57 ","$421,207.68 ","$124,791.99 ","$185,869.49 ","$155,529.32 ","$187,510.05 ","$117,501.28 ","$186,741.96 ","$115,310.80 ","$135,203.51 ","$166,567.21 ","$146,892.32 ","$158,163.79 ","$134,577.43 ","$111,558.84 ","$126,694.62 ","$119,077.82 ","$198,654.18 ","$212,966.75 ","$126,628.62 ","$137,939.45 ","$155,222.02 ","$126,512.22 ","$177,797.77 ","$126,835.47 ","$101,020.85 ","$109,355.18 ","$69,647.51 ","$85,642.44 ","$107,163.67 ","$85,189.52 ","$86,005.48 ","$118,060.53 ","$73,774.15 ","$95,032.08 ","$131,402.19 ","$91,765.57 ","$84,805.45 ","$101,647.70 ","$52,335.58 ","$55,456.20 ","$87,483.24 ","$88,363.87 ","$92,822.29 ","$80,999.44 ","$87,411.50 ","$82,960.07 ","$95,294.05 ","$80,339.18 ","$111,716.18 ","$60,172.42 ","$62,705.94 ","$45,601.85 ","$54,177.36 ","$49,998.32 ","$74,450.03 ","$29,145.11 ","$58,195.37 ","$77,842.05 ","$71,095.42 ","$57,772.14 ","$69,288.47 ","$44,767.11 ","$76,592.32 ","$66,586.88 ","$27,489.34 "
16,ORTHOCLONE OKT3 (J7505) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ORTHOCLONE OKT3 (J7505) - Dose USD ,,,,,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ORTHOVISC (J7324) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ORTHOVISC (J7324) - Dose USD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,OTEZLA (6961O) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,085","6,380","10,135","9,950","12,385","9,730","12,810","10,165","10,235","12,975","10,849","11,959","12,374","15,714","12,473","16,327","14,049","14,172","17,805","15,348","15,713","20,229","17,694","16,560","21,118","18,026","19,346","24,963","26,976","29,983","25,967","25,793","35,773","30,224","30,835","37,599","30,499","32,589","41,512","36,210","34,089","41,852","34,226","33,109","41,487","32,732","32,729","46,825","38,473","40,418","48,251","36,303","48,728","44,622","42,415","56,844","45,941","45,747","45,055","59,477","50,725","63,449","52,312","51,873","65,517","52,353","49,197","66,214","54,120","67,469","52,385","33,429"
21,OTEZLA (6961O) - Dose USD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,165,660.00 ","$12,734,480.00 ","$20,229,460.00 ","$19,860,200.00 ","$24,720,460.00 ","$19,421,080.00 ","$25,568,760.00 ","$20,289,340.00 ","$20,429,060.00 ","$25,898,100.00 ","$21,654,604.00 ","$23,870,164.00 ","$27,168,354.40 ","$34,501,658.40 ","$27,385,718.80 ","$39,432,317.32 ","$33,930,582.84 ","$34,227,647.52 ","$47,302,187.40 ","$40,774,724.64 ","$41,744,412.84 ","$59,116,015.86 ","$51,707,883.96 ","$48,393,950.40 ","$61,713,976.12 ","$52,678,100.84 ","$56,535,589.64 ","$72,950,373.42 ","$78,833,043.84 ","$87,620,520.22 ","$75,884,402.78 ","$75,375,915.62 ","$104,540,868.82 ","$88,324,804.16 ","$90,110,353.90 ","$109,877,061.66 ","$89,128,447.66 ","$95,236,138.26 ","$121,312,178.08 ","$105,817,931.40 ","$99,619,648.26 ","$122,305,773.68 ","$100,020,008.84 ","$96,755,755.06 ","$121,239,119.58 ","$95,654,032.88 ","$95,645,265.86 ","$136,838,570.50 ","$112,431,186.82 ","$118,115,138.12 ","$141,005,827.34 ","$106,089,709.02 ","$142,399,783.52 ","$130,400,655.48 ","$123,951,051.10 ","$166,117,494.96 ","$134,255,221.94 ","$133,688,287.98 ","$131,666,028.70 ","$173,812,016.18 ","$148,235,696.50 ","$185,419,550.66 ","$152,873,450.08 ","$151,590,542.82 ","$191,462,949.78 ","$152,993,266.02 ","$143,770,360.98 ","$193,499,820.76 ","$158,157,040.80 ","$197,167,357.46 ","$153,086,780.90 ","$97,690,903.86 "
22,"OVINE, 1000 USP UNITS (J3472) - Dose Units ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"OVINE, 1000 USP UNITS (J3472) - Dose USD ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,,,,,,$0.00 ,,,,,$0.00 ,,,,,$0.00 ,,,,,$0.00 ,$0.00 ,,$0.00 ,,,,,,,,$0.00 ,,,$0.00 ,,,,,,,,,,,,,,,$0.00 ,,,,,,,,,,,,,,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,
24,OXACILLIN SODIUM INJECITON (J2700) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,OXACILLIN SODIUM INJECITON (J2700) - Dose USD ,$0.00 ,,$0.00 ,$0.00 ,,$0.00 ,,,,,,,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,$0.00 ,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,,,$0.00 ,,$0.00 ,,,$0.00 ,,,,,,,,,,,,,,,,,,,,,$0.00 ,,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,$0.00 ,,$0.00 ,,$0.00 
26,OXYTETRACYCLINE INJECTION (J2460) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,OXYTETRACYCLINE INJECTION (J2460) - Dose USD ,,,,,,,,,$0.00 ,,,,,,,,,,,$0.00 ,,,,$0.00 ,,,,,,,,,,,,,,,,,,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,
28,OXYTOCIN INJECTION (J2590) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,OXYTOCIN INJECTION (J2590) - Dose USD ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,$0.00 ,
30,OZURDEX (J7312) - Dose Units ,685,236,711,275,289,855,553,922,567,539,"1,068",764,711,843,"1,185",632,737,842,"1,094",961,672,"1,095","1,885",949,"1,478","1,120",975,"1,094","1,675","1,095","1,398","1,886","1,489","2,255","1,437","1,344","2,243","1,755","2,283","2,031","1,753","1,648","2,044","2,031","1,846","2,229","1,068","1,715","1,952","1,147","1,226","1,675","1,160","1,146","2,480","1,622","2,335","2,203","2,440","2,875","1,121","2,163","2,652","2,044","1,516","2,017","2,164","1,913","3,285","2,401","1,966","3,245","2,282","2,441","3,917","3,536","3,140","3,707","2,085","3,020","3,549","3,167","3,878","2,876","2,032","3,074","4,050","3,589","4,527","3,088","3,325","4,302","3,140","2,876","3,509","3,100","4,407","3,312","2,257"
31,OZURDEX (J7312) - Dose USD ,"$1,356,642.43 ","$435,887.26 ","$1,429,070.18 ","$503,469.97 ","$508,237.11 ","$1,519,863.30 ","$990,985.62 ","$1,747,119.28 ","$1,039,248.63 ","$1,022,838.74 ","$2,152,968.38 ","$1,574,854.21 ","$1,490,782.07 ","$1,708,274.08 ","$2,452,056.51 ","$1,321,069.60 ","$1,520,302.03 ","$1,701,717.70 ","$2,204,166.59 ","$1,967,161.23 ","$1,358,348.88 ","$2,185,160.10 ","$3,830,138.85 ","$1,950,795.24 ","$2,970,434.15 ","$2,250,133.20 ","$1,998,052.88 ","$2,292,723.15 ","$3,492,033.30 ","$2,334,118.43 ","$3,087,668.24 ","$4,235,556.17 ","$3,307,452.42 ","$5,019,756.05 ","$3,189,159.25 ","$2,894,505.60 ","$4,648,424.60 ","$3,542,783.40 ","$4,580,708.23 ","$3,922,328.13 ","$3,308,338.73 ","$3,160,575.44 ","$3,950,352.95 ","$3,894,203.86 ","$3,571,654.65 ","$4,300,815.38 ","$2,074,662.09 ","$3,284,880.99 ","$3,640,093.50 ","$2,113,688.73 ","$2,188,078.86 ","$2,937,212.83 ","$1,998,749.60 ","$1,945,939.52 ","$4,256,964.64 ","$2,841,257.40 ","$4,147,534.41 ","$3,955,794.92 ","$4,424,134.56 ","$5,285,900.25 ","$2,073,177.40 ","$3,951,914.56 ","$4,815,984.26 ","$3,746,917.72 ","$2,795,583.59 ","$3,637,038.06 ","$3,752,473.38 ","$3,382,188.78 ","$5,856,438.87 ","$4,197,914.40 ","$3,404,364.72 ","$5,721,253.01 ","$4,130,419.77 ","$4,378,665.80 ","$7,329,709.36 ","$6,785,027.08 ","$6,187,989.84 ","$7,440,972.13 ","$4,283,893.13 ","$6,290,527.12 ","$7,319,670.19 ","$6,558,864.92 ","$8,176,142.52 ","$6,035,429.80 ","$4,256,922.96 ","$6,623,870.26 ","$8,869,507.70 ","$7,843,346.77 ","$9,768,586.95 ","$6,745,210.73 ","$7,473,028.61 ","$9,548,770.82 ","$6,785,225.69 ","$6,034,128.12 ","$7,223,227.02 ","$6,186,437.50 ","$8,511,900.15 ","$6,383,730.96 ","$4,314,360.68 "
32,PACLITAXEL INJECTION (J9265) - Dose Units ,"23,638","22,740","26,317","23,825","22,002","28,099","24,667","29,630","23,571","22,753","29,589","25,090","22,979","22,555","28,891","20,165","25,735","18,901","18,215","24,788","21,911","20,867","28,220","25,501","28,392","24,603","25,224","24,128","30,107","23,428","24,933","29,012","20,616","23,810","18,267","11,047","3,919",249,,,368,79,,39,157,118,,,,,,78,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,78,39,,,,
